replicate,token_markov_bits_per_event,matched_trigram_bits_per_event,delta_token_minus_trigram_bits_per_event
417,2.582965591315686,2.4535992627789716,0.12936632853671437
418,2.4917629705227062,2.3597052645786705,0.13205770594403576
419,2.655278196586923,2.5249836066761344,0.1302945899107888
420,2.5485818490734378,2.4099661367342238,0.138615712339214
421,2.5359912607820867,2.400484672352421,0.1355065884296658
422,2.3763822805968347,2.2626694653857924,0.11371281521104226
423,2.3426497848328256,2.230526747307945,0.11212303752488051
424,2.4445329964868487,2.321002569888435,0.12353042659841362
425,2.3555895512878173,2.2462878323400575,0.10930171894775986
426,2.4748951671872073,2.33854803218957,0.1363471349976373
427,2.486759651372282,2.35555484831721,0.1312048030550721
428,2.496165875064147,2.3736026941416415,0.1225631809225054
429,2.5106357850787675,2.3854684618684225,0.12516732321034496
430,2.508565259075191,2.3898015395888357,0.11876371948635533
431,2.42844186473478,2.303948522341677,0.12449334239310295
432,2.507608485573532,2.3749525719756686,0.13265591359786333
433,2.633746008375527,2.468762618713606,0.16498338966192083
434,2.4525367186520897,2.327079993292626,0.12545672535946384
435,2.334476745408539,2.2253504742416585,0.10912627116688034
436,2.394433996689432,2.275731082332664,0.11870291435676794
437,2.477478451453382,2.3517040198945223,0.1257744315588596
438,2.457205144377959,2.327778966671974,0.12942617770598508
439,2.5157232260649787,2.384673622506804,0.13104960355817452
440,2.393502908927422,2.273029255751356,0.12047365317606618
441,2.338804558760892,2.226454337736797,0.11235022102409475
442,2.4244715540952857,2.302810493276583,0.12166106081870254
443,2.402474262404042,2.2876035865574966,0.1148706758465452
444,2.3914171120694734,2.2757162711855736,0.11570084088389976
445,2.557052867104231,2.420915231065916,0.13613763603831508
446,2.5119450980515903,2.372255611593709,0.13968948645788126
447,2.4992376291378178,2.3674715560615485,0.1317660730762693
448,2.545392074207252,2.405762335860677,0.13962973834657522
449,2.5578943635920393,2.409811560353959,0.1480828032380801
450,2.4117980962485497,2.2904538167169064,0.12134427953164328
451,2.541979323336262,2.4031473015363742,0.13883202179988796
452,2.5628069621813596,2.4263568725908473,0.1364500895905123
453,2.4536981282758883,2.323029029275883,0.13066909900000523
454,2.4485615761433626,2.3267437075207296,0.121817868622633
455,2.3587696086526124,2.2492342119825968,0.10953539667001566
456,2.29827424785202,2.199711773939312,0.098562473912708
457,2.404790464392988,2.277049027159273,0.1277414372337149
458,2.494728755736033,2.3553976899799904,0.1393310657560427
459,2.57564296714399,2.4345265636421445,0.1411164035018455
460,2.475835016914886,2.351353547444496,0.12448146947038996
461,2.429582224183558,2.304740042681984,0.12484218150157389
462,2.3739943538994672,2.254658713886675,0.11933564001279207
463,2.4234345516296316,2.30147090189188,0.12196364973775164
