replicate,copy_edit_bits_per_event,matched_trigram_bits_per_event,delta_copy_minus_trigram_bits_per_event
471,3.485541362701715,2.325293046658405,1.16024831604331
472,3.5378285755576813,2.4255058172082453,1.112322758349436
473,3.5279963902575333,2.4649641925024617,1.0630321977550716
474,3.4506525680940165,2.342303355947912,1.1083492121461047
475,3.440943794503474,2.2395676889444562,1.2013761055590177
476,3.4224579675515256,2.2630110630396842,1.1594469045118414
477,3.4830855773984353,2.2922535615481845,1.1908320158502508
478,3.41142584279092,2.2609320812652562,1.1504937615256638
479,3.491937455758707,2.379261964097261,1.1126754916614456
480,3.475171727607767,2.3770143532517825,1.0981573743559845
481,3.5415754928484793,2.5089321714465744,1.0326433214019048
482,3.476156506847482,2.371767989771564,1.1043885170759178
483,3.422514224108295,2.2973649271434575,1.1251492969648376
484,3.4422682229027455,2.2866127880164724,1.155655434886273
485,3.3864103623321755,2.2264063092872437,1.1600040530449318
486,3.3910399105197606,2.235180333314884,1.1558595772048768
487,3.4699087173299055,2.295140740889313,1.1747679764405925
488,3.397582822049646,2.250927648791185,1.146655173258461
489,3.517989076382702,2.426997055688794,1.0909920206939079
490,3.5307273720356047,2.4336287434217203,1.0970986286138844
491,3.436657297039469,2.291260914099577,1.1453963829398917
492,3.5067685730543485,2.3709592220098146,1.135809351044534
